year,st_abr,st_name,st_code,st_south,st_pop,st_uemp,inc_icpsr,inc_pos,inc_spend,ch_qual,ch_spend,ch_wealthy,inc_2p_share,st_id,inc_tenure,inc_rep
1988,CT,Connecticut,1,0,3271953,2.9000000953674316,12032,-0.035999998450279236,2559902,3,2570779,0,0.4963257610797882,9.300000190734863,18,1
1988,DE,Delaware,11,0,647622,2.9000000953674316,11044,0.2370000034570694,1942119,3,2385414,0,0.6206133365631104,8.5,18,1
1988,FL,Florida,43,1,12306395,5.300000190734863,13101,-0.1770000010728836,NA,NA,NA,NA,NA,20.5,18,0
1988,HI,Hawaii,82,0,1079828,3,10605,-0.40299999713897705,494580,0,33325,0,0.7872942686080933,NA,12,0
1988,IN,Indiana,22,0,5491735,5.099999904632568,14506,0.25999999046325684,3022597,0,307436,0,0.6814285516738892,22,12,1
1988,MA,Massachusetts,3,0,5979982,3.299999952316284,10808,-0.4429999887943268,2702865,0,587323,0,0.6569432020187378,3,26,0
1988,MD,Maryland,52,0,4657904,4.099999904632568,13039,-0.4129999876022339,1466477,0,662795,0,0.6180269122123718,11.399999618530273,12,0
1988,ME,Maine,2,0,1203840,3.700000047683716,14713,-0.3319999873638153,1340157,0,147760,0,0.8120420575141907,17.299999237060547,8,0
1988,MI,Michigan,23,0,9217998,7.599999904632568,11043,-0.3889999985694885,3383849,4,442693,1,0.6109130382537842,6.300000190734863,12,0
1988,MN,Minnesota,33,0,4296166,4.300000190734863,14703,0.04800000041723251,5406210,3,2477068,0,0.5785861015319824,17.5,10,1
1988,MO,Missouri,34,0,5081736,5.599999904632568,14501,0.1379999965429306,3992995,1,880160,0,0.6807460784912109,11,12,1
1988,MS,Mississippi,46,1,2580352,8.699999809265137,8883,0.04399999976158142,NA,NA,NA,NA,NA,29.799999237060547,42,0
1988,MT,Montana,64,0,800202,6.5,12039,-0.2849999964237213,1338622,2,1076010,0,0.48133352398872375,2.4000000953674316,12,0
1988,ND,North Dakota,36,0,655331,4.699999809265137,1252,-0.3610000014305115,2026617,1,906807,0,0.6035016775131226,15.600000381469727,28,0
1988,NE,Nebraska,35,0,1571477,3.5,15505,0.2980000078678131,3411361,3,3461148,NA,0.4235372543334961,25.600000381469727,1,1
1988,NJ,New Jersey,12,0,7712333,3.799999952316284,14914,-0.3919999897480011,7298663,0,7616249,0,0.5423697233200073,16.100000381469727,6,0
1988,NM,New Mexico,66,0,1490337,7.599999904632568,14912,-0.24199999868869781,3164973,1,659624,0,0.6331243515014648,19.200000762939453,6,0
1988,NV,Nevada,65,0,1075022,5.300000190734863,14913,0.4560000002384186,3007864,3,2957789,0,0.47890669107437134,-0.20000000298023224,6,1
1988,NY,New York,13,0,17941309,4.300000190734863,14508,-0.3179999887943268,4809810,0,528988,0,0.6833816766738892,8,12,0
1988,OH,Ohio,24,0,10798552,6.099999904632568,14073,-0.5040000081062317,8547545,2,8233914,0,0.5697629451751709,14.300000190734863,12,0
1988,PA,Pennsylvania,14,0,11845752,5,13050,0.02500000037252903,5151512,2,526836,0,0.6719298362731934,14.899999618530273,12,1
